,cluster,model,signal_id
0,0,SNN,20
1,0,SNN,21
2,0,SNN,22
3,0,SNN,23
4,0,SNN,24
5,2,SNN,25
6,0,SNN,26
7,0,SNN,27
8,0,SNN,28
9,0,SNN,29
10,0,SNN,30
11,0,SNN,31
12,0,SNN,32
13,2,SNN,33
14,0,SNN,34
15,0,SNN,35
16,2,SNN,36
17,0,SNN,37
18,0,SNN,38
19,0,SNN,39
20,0,SNN,61
21,0,SNN,62
22,0,SNN,63
23,0,SNN,64
24,0,SNN,65
25,0,SNN,66
26,0,SNN,67
27,0,SNN,68
28,0,SNN,69
29,0,SNN,70
30,0,SNN,71
31,0,SNN,72
32,0,SNN,73
33,0,SNN,74
34,0,SNN,75
35,0,SNN,76
36,0,SNN,77
37,0,SNN,78
38,0,SNN,79
39,0,SNN,80
40,0,SNN,81
41,0,SNN,82
42,0,SNN,83
43,0,SNN,84
44,0,SNN,85
45,0,SNN,86
46,0,SNN,87
47,0,SNN,88
48,0,SNN,89
49,0,SNN,90
50,0,SNN,91
51,0,SNN,92
52,0,SNN,93
53,0,SNN,94
54,0,SNN,95
55,2,SNN,96
56,0,SNN,97
57,0,SNN,98
58,0,SNN,99
59,0,SNN,100
60,2,SNN,256
61,0,SNN,257
62,0,SNN,258
63,0,SNN,259
64,0,SNN,260
65,2,SNN,261
66,0,SNN,262
67,0,SNN,263
68,0,SNN,264
69,0,SNN,265
70,2,SNN,266
71,0,SNN,267
72,0,SNN,268
73,0,SNN,269
74,0,SNN,270
75,0,SNN,271
76,0,SNN,272
77,0,SNN,273
78,0,SNN,274
79,0,SNN,275
80,0,SNN,276
81,0,SNN,277
82,0,SNN,278
83,0,SNN,279
84,0,SNN,280
85,0,SNN,281
86,0,SNN,282
87,0,SNN,283
88,0,SNN,20
89,2,SNN,21
90,0,SNN,22
91,0,SNN,23
92,0,SNN,24
93,0,SNN,25
94,0,SNN,26
95,0,SNN,27
96,0,SNN,28
97,0,SNN,29
98,0,SNN,30
99,0,SNN,31
100,0,SNN,32
101,0,SNN,33
102,0,SNN,34
103,0,SNN,35
104,2,SNN,36
105,0,SNN,37
106,0,SNN,38
107,1,NMM,39
108,3,NMM,61
109,1,NMM,62
110,1,NMM,63
111,1,NMM,64
112,3,NMM,65
113,3,NMM,66
114,3,NMM,67
115,1,NMM,68
116,1,NMM,69
117,1,NMM,70
118,3,NMM,71
119,1,NMM,72
120,3,NMM,73
121,1,NMM,74
122,1,NMM,75
123,3,NMM,76
124,1,NMM,77
125,1,NMM,78
126,1,NMM,79
127,3,NMM,80
128,3,NMM,81
129,3,NMM,82
130,1,NMM,83
131,1,NMM,84
132,1,NMM,85
133,1,NMM,86
134,1,NMM,87
135,1,NMM,88
136,3,NMM,89
137,1,NMM,90
138,1,NMM,91
139,1,NMM,92
140,1,NMM,93
141,1,NMM,94
142,1,NMM,95
143,1,NMM,96
144,3,NMM,97
145,1,NMM,98
146,1,NMM,99
147,1,NMM,100
148,1,NMM,256
149,1,NMM,257
150,1,NMM,258
151,1,NMM,259
152,1,NMM,260
153,1,NMM,261
154,1,NMM,262
155,1,NMM,263
156,1,NMM,264
157,1,NMM,265
158,1,NMM,266
159,1,NMM,267
160,3,NMM,268
161,1,NMM,269
162,3,NMM,270
163,3,NMM,271
164,1,NMM,272
165,1,NMM,273
166,3,NMM,274
167,3,NMM,275
168,1,NMM,276
169,3,NMM,277
170,1,NMM,278
171,3,NMM,279
172,1,NMM,280
173,3,NMM,281
174,1,NMM,282
175,1,NMM,283
176,1,NMM,5
177,3,NMM,7
178,1,NMM,9
179,1,NMM,25
180,1,NMM,26
181,1,NMM,27
182,1,NMM,28
183,3,NMM,29
184,1,NMM,44
185,3,NMM,45
186,3,NMM,64
187,1,NMM,65
188,1,NMM,67
189,3,NMM,68
190,1,NMM,80
191,1,NMM,81
192,1,NMM,82
193,1,NMM,83
194,1,NMM,84
195,3,NMM,5
196,3,NMM,7
197,1,NMM,9
198,1,NMM,25
199,1,NMM,26
200,1,NMM,27
201,1,NMM,28
202,1,NMM,29
203,3,NMM,44
204,1,NMM,45
205,1,NMM,64
206,1,NMM,65
207,1,NMM,67
208,3,NMM,68
209,1,NMM,80
210,1,NMM,81
211,3,NMM,82
212,1,NMM,83
213,1,NMM,84
