,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness
0,0.04,5.0,140.0,0.5186522408026261,17.53388151153393,0.02,0.2,8,0,0.9000546457829189,5.328888020640235,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.36600006363593,18.48650172323886,0.8,1.2,0,-80,5,5,20,19.999897942521223,27.0,-35.00051028739387,19.999897942521223,27.0,-35.00051028739387,optimized_frequencies,40,0.0
1,0.04,5.0,140.0,0.014051290758233,11.262341482183572,0.02,0.2,8,0,0.4453250475554814,10.816881543991263,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.309291928151195,12.38947450188764,0.8,1.2,0,-80,5,5,20,19.999979826874235,33.0,-65.00010086562882,19.999979826874235,33.0,-65.00010086562882,optimized_frequencies,101,0.0
2,0.04,5.0,140.0,0.3089254949682017,16.862556634205237,0.02,0.2,8,0,0.8687201624800093,5.319424478850863,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.2994902460838667,23.53398695728008,0.8,1.2,0,-80,5,5,20,19.999915749388133,23.0,-15.000421253059333,19.999915749388133,23.0,-15.000421253059333,optimized_frequencies,102,0.0
3,0.04,5.0,140.0,0.1030057877356622,16.79545164080932,0.02,0.2,8,0,0.5256827380438104,9.679351650457235,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.215212151858984,15.710345061902885,0.8,1.2,0,-80,5,5,20,19.999884330214105,22.0,-10.000578348929476,19.999884330214105,22.0,-10.000578348929476,optimized_frequencies,103,0.0
4,0.04,5.0,140.0,0.6499632077276114,18.15610053129524,0.02,0.2,8,0,0.582121463124428,6.380163611664173,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.263078758615213,16.217226738031265,0.8,1.2,0,-80,5,5,20,19.999888854927892,17.0,14.999444274639462,19.999888854927892,17.0,14.999444274639462,optimized_frequencies,104,0.0
5,0.04,5.0,140.0,0.2488066941411751,15.275836122552226,0.02,0.2,8,0,0.5547618604349156,7.171331586185985,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.261651392911766,19.556281738726145,0.8,1.2,0,-80,5,5,20,19.999902857448163,22.0,-10.000485712759186,19.999902857448163,22.0,-10.000485712759186,optimized_frequencies,105,0.0
6,0.04,5.0,140.0,0.7405718274009527,13.266088068688283,0.02,0.2,8,0,0.950247639449208,1.04028588477874,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.405224155189456,28.011951657936223,0.8,1.2,0,-80,5,5,20,19.99992776549791,13.0,34.99963882748956,19.99992776549791,13.0,34.99963882748956,optimized_frequencies,106,0.0
7,0.04,5.0,140.0,0.1280059764955805,6.781088577489763,0.02,0.2,8,0,0.6122853473455383,6.144459827388786,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.968978941469888,7.831234864025583,0.8,1.2,0,-80,5,5,20,19.999825332087365,15.0,24.999126660436826,19.999825332087365,15.0,24.999126660436826,optimized_frequencies,107,0.0
8,0.04,5.0,140.0,0.4191301175441319,16.5344249983436,0.02,0.2,8,0,0.7880104382220976,7.006079239749155,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.106503327991161,25.22628612283837,0.8,1.2,0,-80,5,5,20,19.99992072332042,19.0,4.9996036166021085,19.99992072332042,19.0,4.9996036166021085,optimized_frequencies,108,0.0
9,0.04,5.0,140.0,0.581956970763057,17.228055581359534,0.02,0.2,8,0,0.7878950199139715,4.1215146163495575,0.1,0.2,2,0,0.8,0.2,0.2,0.8,11.814839178042178,22.47824325838427,0.8,1.2,0,-80,5,5,20,19.99991412512828,13.0,34.99957062564139,19.99991412512828,13.0,34.99957062564139,optimized_frequencies,109,0.0
10,0.04,5.0,140.0,0.0436924137752784,12.947852639958754,0.02,0.2,8,0,0.8302966922332494,6.660055446847707,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.747579433226063,26.351813120128867,0.8,1.2,0,-80,5,5,20,19.999923259918653,10.0,49.999616299593264,19.999923259918653,10.0,49.999616299593264,optimized_frequencies,110,0.0
11,0.04,5.0,140.0,0.5273593335139395,18.458839018425447,0.02,0.2,8,0,0.5741625540277291,1.172055435390135,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.389730811754534,29.093916281353128,0.8,1.2,0,-80,5,5,20,19.999930054522498,15.0,24.999650272612488,19.999930054522498,15.0,24.999650272612488,optimized_frequencies,111,0.0
12,0.04,5.0,140.0,0.1936849956220755,17.960558603659777,0.02,0.2,8,0,0.8245960514986381,1.55019692475571,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.875000667899556,8.617223962883623,0.8,1.2,0,-80,5,5,20,19.999830407869077,20.0,-0.0008479606546174,19.999830407869077,20.0,-0.0008479606546174,optimized_frequencies,112,0.0
13,0.04,5.0,140.0,0.3628112246113609,12.20171532184794,0.02,0.2,8,0,0.3661437779454177,3.3913406256559497,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.270130078694676,12.136387401567893,0.8,1.2,0,-80,5,5,20,19.999864785380595,24.0,-20.000676073097026,19.999864785380595,24.0,-20.000676073097026,optimized_frequencies,113,0.0
14,0.04,5.0,140.0,0.8006463086680797,15.093710212435507,0.02,0.2,8,0,0.6395688476325629,4.078151242923575,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.628779997485021,10.491934095515948,0.8,1.2,0,-80,5,5,20,19.999850136750215,30.0,-50.00074931624893,19.999850136750215,30.0,-50.00074931624893,optimized_frequencies,114,0.0
15,0.04,5.0,140.0,0.491237699886923,16.709379432367893,0.02,0.2,8,0,0.984062763728864,6.544802624073128,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.056275173985133,13.821846405119,0.8,1.2,0,-80,5,5,20,19.999875289950868,14.0,29.99937644975434,19.999875289950868,14.0,29.99937644975434,optimized_frequencies,115,0.0
16,0.04,5.0,140.0,0.6060953120996297,18.64823555689007,0.02,0.2,8,0,0.6385521201640604,6.599898921155379,0.1,0.2,2,0,0.8,0.2,0.2,0.8,11.992287313352165,26.165213604652628,0.8,1.2,0,-80,5,5,20,19.999923621268422,13.0,34.99961810634211,19.999923621268422,14.0,29.999618106342112,optimized_frequencies,116,0.0
17,0.04,5.0,140.0,0.5876568612633483,15.700505641236962,0.02,0.2,8,0,0.7792236451456013,4.65948627855304,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.512328000582697,12.74027090919014,0.8,1.2,0,-80,5,5,20,19.999868525713083,16.0,19.999342628565415,19.999868525713083,16.0,19.999342628565415,optimized_frequencies,117,0.0
18,0.04,5.0,140.0,0.3712698125619225,18.31888299043991,0.02,0.2,8,0,0.767891325044026,8.964888386872502,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.151830793618026,28.266994683694723,0.8,1.2,0,-80,5,5,20,19.999927534131427,20.0,-0.0003623293428667,19.999927534131427,20.0,-0.0003623293428667,optimized_frequencies,118,0.0
19,0.04,5.0,140.0,0.7235196068007447,15.18771284415578,0.02,0.2,8,0,0.9593910150486644,3.961997768491379,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.565229261553642,13.996469910208797,0.8,1.2,0,-80,5,5,20,19.99987670683969,17.0,14.999383534198444,19.99987670683969,17.0,14.999383534198444,optimized_frequencies,119,0.0
20,0.04,5.0,140.0,0.354841604625226,15.31466359358264,0.02,0.2,8,0,0.4803707838389773,7.037367649440924,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.396401120247977,22.357940952527205,0.8,1.2,0,-80,5,5,20,19.999912838839013,24.0,-20.000435805804937,19.999912838839013,24.0,-20.000435805804937,optimized_frequencies,120,0.0
21,0.04,5.0,140.0,0.5225355639683161,17.011009008792733,0.02,0.2,8,0,0.6406146154600949,2.285915127763559,0.1,0.2,2,0,0.8,0.2,0.2,0.8,14.622138933570223,23.91136874685738,0.8,1.2,0,-80,5,5,20,19.99993131773788,14.0,29.99965658868939,19.99993131773788,14.0,29.99965658868939,optimized_frequencies,121,0.0
22,0.04,5.0,140.0,0.4606267665100796,17.117199275139285,0.02,0.2,8,0,0.7048728775360263,8.014928511065463,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.53894211071484,22.34080420433997,0.8,1.2,0,-80,5,5,20,19.999912079023375,25.0,-25.00043960488313,19.999912079023375,25.0,-25.00043960488313,optimized_frequencies,122,0.0
23,0.04,5.0,140.0,0.4821807910626451,17.80523426789251,0.02,0.2,8,0,0.8875654526230241,7.477419968489805,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.839032975558527,24.383454417066776,0.8,1.2,0,-80,5,5,20,19.99991806871577,23.0,-15.00040965642116,19.99991806871577,23.0,-15.00040965642116,optimized_frequencies,123,0.0
24,0.04,5.0,140.0,0.0701113162404666,14.68009491878179,0.02,0.2,8,0,0.7068087477379201,2.8985473116259257,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.778746856321811,21.197986138742426,0.8,1.2,0,-80,5,5,20,19.999909344332888,13.0,34.999546721664444,19.999909344332888,13.0,34.999546721664444,optimized_frequencies,124,0.0
25,0.04,5.0,140.0,0.3209246272340888,16.340843444359884,0.02,0.2,8,0,0.8144241171523788,7.947461240642483,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.779611468216526,13.650555167140142,0.8,1.2,0,-80,5,5,20,19.999887627191978,23.0,-15.00056186404013,19.999887627191978,23.0,-15.00056186404013,optimized_frequencies,125,0.0
26,0.04,5.0,140.0,0.2448666647477975,13.73893157418028,0.02,0.2,8,0,0.4011503260203728,5.881720876633388,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.8161309867359448,17.21497922598318,0.8,1.2,0,-80,5,5,20,19.999893075002543,24.0,-20.000534624987285,19.999893075002543,24.0,-20.000534624987285,optimized_frequencies,126,0.0
27,0.04,5.0,140.0,0.1625920205656389,17.239608577837384,0.02,0.2,8,0,0.7792916014829517,9.302368018569126,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.295176039415412,15.513213868536525,0.8,1.2,0,-80,5,5,20,19.99988407813134,22.0,-10.000579609343294,19.99988407813134,22.0,-10.000579609343294,optimized_frequencies,127,0.0
28,0.04,5.0,140.0,0.2257913415679321,15.369801134000491,0.02,0.2,8,0,0.4207130047276939,7.349101887271878,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.273603853880035,18.00436046256494,0.8,1.2,0,-80,5,5,20,19.99989693696665,24.0,-20.00051531516675,19.99989693696665,24.0,-20.00051531516675,optimized_frequencies,128,0.0
29,0.04,5.0,140.0,0.0641051595023207,13.877490576443144,0.02,0.2,8,0,0.301210197361559,6.888661116841462,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.461147725114676,14.874072421627403,0.8,1.2,0,-80,5,5,20,19.999948073662704,22.0,-10.00025963168648,19.999948073662704,22.0,-10.00025963168648,optimized_frequencies,284,0.0
30,0.04,5.0,140.0,0.2016025333319642,14.362344591299795,0.02,0.2,8,0,0.3849926811234892,3.031994027952152,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.6920097380496912,5.584473155725142,0.8,1.2,0,-80,5,5,20,19.999784973981853,24.0,-20.001075130090733,19.999784973981853,24.0,-20.001075130090733,optimized_frequencies,285,0.0
31,0.04,5.0,140.0,0.2910824335430264,16.168679912792662,0.02,0.2,8,0,0.5788291486120658,0.9819800242407624,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.446678097687592,24.201751932887547,0.8,1.2,0,-80,5,5,20,19.999939529722653,13.0,34.999697648613264,19.999939529722653,13.0,34.999697648613264,optimized_frequencies,286,0.0
32,0.04,5.0,140.0,0.1353358992226053,15.768560062095206,0.02,0.2,8,0,0.3208205064123367,8.009134507640297,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.4394360633827867,9.62729000898656,0.8,1.2,0,-80,5,5,20,19.999848236508228,24.0,-20.00075881745886,19.999848236508228,24.0,-20.00075881745886,optimized_frequencies,287,0.0
33,0.04,5.0,140.0,0.4546632966123894,11.496402971195582,0.02,0.2,8,0,0.7814443874805743,1.92306540221945,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.021793026478751,17.578873839763514,0.8,1.2,0,-80,5,5,20,19.999997050934347,13.0,34.999985254671735,19.999997050934347,13.0,34.999985254671735,optimized_frequencies,288,0.0
34,0.04,5.0,140.0,0.8209299851729543,17.765029840833343,0.02,0.2,8,0,0.7262053985371427,1.5138423219699817,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.300918120760177,7.291098318345739,0.8,1.2,0,-80,5,5,20,19.999949337332307,23.0,-15.000253313338463,19.999949337332307,23.0,-15.000253313338463,optimized_frequencies,289,0.0
35,0.04,5.0,140.0,0.2301635740075079,11.948670203419562,0.02,0.2,8,0,0.2307356651224755,4.836261367987426,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.7547514198315142,16.90988351914317,0.8,1.2,0,-80,5,5,20,19.99989180884787,21.0,-5.000540955760631,19.99989180884787,21.0,-5.000540955760631,optimized_frequencies,290,0.0
36,0.04,5.0,140.0,0.472988788400376,16.48617010107234,0.02,0.2,8,0,0.7016645929471657,5.387708281600446,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.198468364893964,18.623141711375336,0.8,1.2,0,-80,5,5,20,19.999898605830168,27.0,-35.00050697084916,19.999898605830168,27.0,-35.00050697084916,optimized_frequencies,291,0.0
37,0.04,5.0,140.0,0.6678823209333276,17.65308699931419,0.02,0.2,8,0,0.9298368637329936,4.407647308840019,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.9006420775634885,10.964683940268069,0.8,1.2,0,-80,5,5,20,19.999854531701175,17.0,14.999272658505893,19.999854531701175,17.0,14.999272658505893,optimized_frequencies,292,0.0
38,0.04,5.0,140.0,0.6197290287421056,16.901100699743516,0.02,0.2,8,0,0.6857104851877027,5.951302279572879,0.1,0.2,2,0,0.8,0.2,0.2,0.8,11.686012250260212,26.7251442913156,0.8,1.2,0,-80,5,5,20,19.999925054054764,15.0,24.999625270273818,19.999925054054764,15.0,24.999625270273818,optimized_frequencies,293,0.0
39,0.04,5.0,140.0,0.812374230175956,15.807908106818113,0.02,0.2,8,0,0.7446475286657392,5.583332294807278,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.998941934552155,12.228826798253936,0.8,1.2,0,-80,5,5,20,19.999864416890944,17.0,14.99932208445472,19.999864416890944,17.0,14.99932208445472,optimized_frequencies,294,0.4444435834884643
40,0.04,5.0,140.0,0.5785208926433649,16.869023255031706,0.02,0.2,8,0,0.8931774331921092,2.5816630922824046,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.905441445576006,12.19898312894922,0.8,1.2,0,-80,5,5,20,19.999864993485936,14.0,29.99932496742968,19.999864993485936,14.0,29.99932496742968,optimized_frequencies,295,0.0
41,0.04,5.0,140.0,0.247112143844526,14.63420888077462,0.02,0.2,8,0,0.4772272195338397,6.138366067421863,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.559997876261776,16.987278886777627,0.8,1.2,0,-80,5,5,20,19.999892716524876,24.0,-20.00053641737562,19.999892716524876,24.0,-20.00053641737562,optimized_frequencies,296,0.0
42,0.04,5.0,140.0,0.5001937062162183,17.39718377754849,0.02,0.2,8,0,0.9086897864187116,7.55629825968672,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.12809938828882,25.03444074562976,0.8,1.2,0,-80,5,5,20,19.99992012237253,16.0,19.99960061186263,19.99992012237253,16.0,19.99960061186263,optimized_frequencies,297,0.0
43,0.04,5.0,140.0,0.086151669855066,17.72579871074694,0.02,0.2,8,0,0.9844211632490728,9.859749630150766,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.008993504979541,11.463810772169207,0.8,1.2,0,-80,5,5,20,19.99985524134886,23.0,-15.000723793255691,19.99985524134886,23.0,-15.000723793255691,optimized_frequencies,298,0.0
44,0.04,5.0,140.0,0.5900883028374679,11.121724843587296,0.02,0.2,8,0,0.805924299655561,0.9114499843362084,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.9032285702900578,16.20710850859284,0.8,1.2,0,-80,5,5,20,19.99988963934137,19.0,4.999448196706844,19.99988963934137,19.0,4.999448196706844,optimized_frequencies,299,0.0
45,0.04,5.0,140.0,0.7434898037100401,16.085024300746536,0.02,0.2,8,0,0.913083043449127,4.850997966447437,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.479766263335552,15.819123211528687,0.8,1.2,0,-80,5,5,20,19.999886681700225,25.0,-25.00056659149887,19.999886681700225,25.0,-25.00056659149887,optimized_frequencies,300,0.0
46,0.04,5.0,140.0,0.8903997259568235,16.902472751032846,0.02,0.2,8,0,0.8916939167178809,2.206878922850379,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.732663710151812,11.316265517540788,0.8,1.2,0,-80,5,5,20,19.99985857328732,15.0,24.9992928664366,19.99985857328732,15.0,24.9992928664366,optimized_frequencies,301,0.0
47,0.04,5.0,140.0,0.2737853987597913,16.80481829771915,0.02,0.2,8,0,0.5878140623892787,1.7879413739759684,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.754028066325692,23.6764587431394,0.8,1.2,0,-80,5,5,20,19.99993429633012,13.0,34.99967148165061,19.99993429633012,13.0,34.99967148165061,optimized_frequencies,302,0.0
48,0.04,5.0,140.0,0.4114823176180013,16.562691749091677,0.02,0.2,8,0,0.5684255713647324,5.211729276917609,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.2647948323656415,24.65349868105141,0.8,1.2,0,-80,5,5,20,19.999918745429433,27.0,-35.000406272852835,19.999918745429433,27.0,-35.000406272852835,optimized_frequencies,303,0.0
49,0.04,5.0,140.0,0.2371999026086002,17.644144537061877,0.02,0.2,8,0,0.6372037550251347,4.624698009942499,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.3489615727747983,8.39848791360195,0.8,1.2,0,-80,5,5,20,19.999826441619295,20.0,-0.0008677919035093,19.999826441619295,20.0,-0.0008677919035093,optimized_frequencies,304,0.0
50,0.04,5.0,140.0,0.3051197548009901,15.937432883648402,0.02,0.2,8,0,0.4590280848156243,3.0718528593783603,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.8685345921375935,9.678988781353176,0.8,1.2,0,-80,5,5,20,19.99984254572079,19.0,4.999212728603943,19.99984254572079,19.0,4.999212728603943,optimized_frequencies,305,0.0
51,0.04,5.0,140.0,0.4074462365226174,12.621659687254136,0.02,0.2,8,0,0.6200387445602947,3.6595664033524287,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.737712195376859,12.495418656765104,0.8,1.2,0,-80,5,5,20,19.999866340537576,23.0,-15.00066829731212,19.999866340537576,23.0,-15.00066829731212,optimized_frequencies,306,0.0
52,0.04,5.0,140.0,0.3151611667051605,16.463147848359707,0.02,0.2,8,0,0.7491970829682308,1.5166126182263326,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.833796839844294,11.16397949474987,0.8,1.2,0,-80,5,5,20,19.999856423951357,37.0,-85.00071788024322,19.999856423951357,19.0,4.999282119756785,optimized_frequencies,307,0.0
53,0.04,5.0,140.0,0.5380441043099248,11.205710800095678,0.02,0.2,8,0,0.6401662874087674,1.030227492521249,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.458528289375421,13.106501423258152,0.8,1.2,0,-80,5,5,20,20.0,15.0,25.0,20.0,15.0,25.0,optimized_frequencies,308,0.0
54,0.04,5.0,140.0,0.1795979105349511,9.75555941140632,0.02,0.2,8,0,0.1613378584638792,2.2644922701686383,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.210799587491144,17.71557768141477,0.8,1.2,0,-80,5,5,20,19.99989710081548,20.0,-0.0005144959226122,19.99989710081548,20.0,-0.0005144959226122,optimized_frequencies,309,0.0
55,0.04,5.0,140.0,0.7142598314905457,13.570084871125768,0.02,0.2,8,0,0.6603717603041284,2.547975204684932,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.709497511350478,10.711317897688591,0.8,1.2,0,-80,5,5,20,19.99997362090069,26.0,-30.00013189549655,19.99997362090069,26.0,-30.00013189549655,optimized_frequencies,310,0.0
56,0.04,5.0,140.0,0.3529004410781702,18.67920388124065,0.02,0.2,8,0,0.4979107092647297,10.063932110736168,0.1,0.2,2,0,0.8,0.2,0.2,0.8,9.44743272964044,28.978090463430963,0.8,1.2,0,-80,5,5,20,20.99992572156197,14.0,34.99962860780984,20.99992572156197,14.0,34.99962860780984,rand_init_optimization_results,10,0.25
57,0.04,5.0,140.0,0.6236214017263663,17.213759653969422,0.02,0.2,8,0,0.6627700746348792,5.206328865113498,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.431542358310078,10.108097353426086,0.8,1.2,0,-80,5,5,20,19.99984599154494,19.0,4.999229957724705,19.99984599154494,19.0,4.999229957724705,rand_init_optimization_results,11,0.0
58,0.04,5.0,140.0,0.4937271328572872,15.129753851822125,0.02,0.2,8,0,0.6442192576368315,6.447584859119765,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.302085048753273,22.61752097202321,0.8,1.2,0,-80,5,5,20,19.999913386917964,22.0,-10.00043306541018,19.999913386917964,22.0,-10.00043306541018,rand_init_optimization_results,12,0.0
59,0.04,5.0,140.0,0.2844014210444153,17.95164891480909,0.02,0.2,8,0,0.6778770851466018,9.95869901121604,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.069632176365891,15.110001135014803,0.8,1.2,0,-80,5,5,20,19.99988097292729,25.0,-25.00059513536355,19.99988097292729,25.0,-25.00059513536355,rand_init_optimization_results,13,0.0
60,0.04,5.0,140.0,0.1443616629163725,18.74628249249512,0.02,0.2,8,0,0.8743181952489626,7.930350298512771,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.884256048180913,29.539806168998517,0.8,1.2,0,-80,5,5,20,19.99993015516031,13.0,34.99965077580155,19.99993015516031,13.0,34.99965077580155,rand_init_optimization_results,14,0.0
61,0.04,5.0,140.0,0.3674425228826629,14.794388481294408,0.02,0.2,8,0,0.3221500588144761,4.991076690217675,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.04169127312815,15.059254601878203,0.8,1.2,0,-80,5,5,20,19.999882937564752,28.0,-40.00058531217624,19.999882937564752,28.0,-40.00058531217624,rand_init_optimization_results,30,0.0
62,0.04,5.0,140.0,0.4183618605240138,15.019832595097858,0.02,0.2,8,0,0.8003978365855371,4.207813848290542,0.1,0.2,2,0,0.8,0.2,0.2,0.8,7.754116759589527,26.0169411134524,0.8,1.2,0,-80,5,5,20,19.99992320452171,14.0,29.99961602260857,19.99992320452171,14.0,29.99961602260857,rand_init_optimization_results,31,0.25
63,0.04,5.0,140.0,0.4205180243967309,9.71793525055359,0.02,0.2,8,0,0.2534725156783118,2.5410639413166223,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.426995290338686,13.092011441192495,0.8,1.2,0,-80,5,5,20,19.999871580839866,22.0,-10.00064209580069,19.999871580839866,22.0,-10.00064209580069,rand_init_optimization_results,32,0.0
64,0.04,5.0,140.0,0.3555114381206665,12.702661411141952,0.02,0.2,8,0,0.5966679629950777,3.5166064659168725,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.135165680222839,13.736261950841076,0.8,1.2,0,-80,5,5,20,19.99987582421676,22.0,-10.000620878916209,19.99987582421676,22.0,-10.000620878916209,rand_init_optimization_results,33,0.0
