,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness
0,0.04,5.0,140.0,0.2113236331736138,7.387414595210662,0.02,0.2,8,0,0.5736665499338012,6.242825671867728,0.1,0.2,2,0,0.8,0.2,0.2,0.8,13.09204433216328,20.99443448367848,0.8,1.2,0,-80,5,5,6,6.999968652879904,8.0,-16.66718911866827,6.999968652879904,8.0,-16.66718911866827,optimized_frequencies,0,1.0
1,0.04,5.0,140.0,0.0944179498252818,8.755778611176956,0.02,0.2,8,0,0.918394951294286,2.7862667627858286,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.280987977290113,27.70935618922763,0.8,1.2,0,-80,5,5,6,5.999978281800874,6.0,-0.0003619699854369,5.999978281800874,6.0,-0.0003619699854369,optimized_frequencies,1,0.0
2,0.04,5.0,140.0,0.8838961872856176,15.645618901254638,0.02,0.2,8,0,0.3192324413516934,53.05717227244571,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.3841910315228816,1.300189015679095,0.8,1.2,0,-80,5,5,6,5.999908174040801,6.0,-0.0015304326533183,5.999908174040801,6.0,-0.0015304326533183,optimized_frequencies,2,0.0
3,0.04,5.0,140.0,0.2302137013411755,11.069126316784631,0.02,0.2,8,0,0.5525723438954849,12.884107133836885,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.6806329074812094,1.589076717106348,0.8,1.2,0,-80,5,5,6,5.99989964373526,6.0,-0.0016726044123357,5.99989964373526,6.0,-0.0016726044123357,optimized_frequencies,3,0.0
4,0.04,5.0,140.0,0.5959802611744386,11.178920116762082,0.02,0.2,8,0,0.7355935192792891,16.838182807622687,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.9143909021057794,1.0264844352713671,0.8,1.2,0,-80,5,5,6,5.999944773248161,6.0,-0.000920445863987,5.999944773248161,6.0,-0.000920445863987,optimized_frequencies,4,0.0
5,0.04,5.0,140.0,0.1146382271909222,14.923834310480853,0.02,0.2,8,0,0.6468608715300359,27.89296878529529,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.416061387363034,1.2153248911064305,0.8,1.2,0,-80,5,5,6,5.999951234577935,6.0,-0.0008127570344148,5.999951234577935,6.0,-0.0008127570344148,optimized_frequencies,5,0.0
6,0.04,5.0,140.0,0.7475673258735637,13.07882986289401,0.02,0.2,8,0,0.3073884266444983,28.775387980457253,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.3207173269920105,1.5473758087431513,0.8,1.2,0,-80,5,5,6,5.999908539373799,6.0,-0.0015243437700096,5.999908539373799,6.0,-0.0015243437700096,optimized_frequencies,6,0.0
7,0.04,5.0,140.0,0.5769859762072514,6.275910240086834,0.02,0.2,8,0,0.928596815299887,8.48137245949507,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.230938045467856,1.514884559197414,0.8,1.2,0,-80,5,5,6,5.999962092494314,5.0,16.666034874905225,5.999962092494314,5.0,16.666034874905225,optimized_frequencies,7,0.0
8,0.04,5.0,140.0,0.8453588505920328,6.733142556331472,0.02,0.2,8,0,0.580505762894381,19.355109623061388,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.774515130907805,1.1265488065707334,0.8,1.2,0,-80,5,5,6,5.99990681059253,5.0,16.665113509875503,5.99990681059253,5.0,16.665113509875503,optimized_frequencies,8,0.0
9,0.04,5.0,140.0,0.0497515271306644,14.45700665573034,0.02,0.2,8,0,0.7740762113122299,20.803339932619277,0.1,0.2,2,0,0.8,0.2,0.2,0.8,3.938743863308676,1.420057149025684,0.8,1.2,0,-80,5,5,6,5.9998923168039635,6.0,-0.0017947199339414,5.9998923168039635,6.0,-0.0017947199339414,optimized_frequencies,9,0.0
10,0.04,5.0,140.0,0.6686244357566921,15.74499271056631,0.02,0.2,8,0,0.9419672771500824,21.84812469486252,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.5427275580129045,1.1194419009143657,0.8,1.2,0,-80,5,5,6,5.999949010809709,11.0,-83.33418315317152,5.999949010809709,2.0,66.66581684682848,optimized_frequencies,10,0.0
11,0.04,5.0,140.0,0.6762508313671092,14.942194734913304,0.02,0.2,8,0,0.2578187571206695,48.17060246008905,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.9038728084952545,1.212104073118411,0.8,1.2,0,-80,5,5,6,5.999924535895759,6.0,-0.0012577350706847,5.999924535895759,6.0,-0.0012577350706847,optimized_frequencies,11,0.0
12,0.04,5.0,140.0,0.0256656227058685,14.689868822160744,0.02,0.2,8,0,0.8281586151755173,16.641268050668515,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.388642018461149,3.458190315629164,0.8,1.2,0,-80,5,5,6,5.999962844156005,6.0,-0.0006192640665888,5.999962844156005,6.0,-0.0006192640665888,optimized_frequencies,12,0.0
13,0.04,5.0,140.0,0.4392585082946215,7.141995379610624,0.02,0.2,8,0,0.7956115634509838,7.541935459020884,0.1,0.2,2,0,0.8,0.2,0.2,0.8,2.4756429349673823,1.1826492530994148,0.8,1.2,0,-80,5,5,6,5.999897156373733,6.0,-0.0017140604377778,5.999897156373733,6.0,-0.0017140604377778,optimized_frequencies,13,0.0
14,0.04,5.0,140.0,0.7886590493732164,4.79454023213482,0.02,0.2,8,0,0.4009078879863028,8.086588078549383,0.1,0.2,2,0,0.8,0.2,0.2,0.8,4.749918921014954,1.7617523560927673,0.8,1.2,0,-80,5,5,6,5.999958701009072,11.0,-83.33402164984881,5.999958701009072,6.0,-0.0006883165154736,optimized_frequencies,14,0.0
15,0.04,5.0,140.0,0.3517263019874022,18.54962566034138,0.02,0.2,8,0,0.8789155292280055,25.48349426662705,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.67070539900355,4.2137058088152095,0.8,1.2,0,-80,5,5,6,5.999943806544664,6.0,-0.0009365575889338,5.999943806544664,6.0,-0.0009365575889338,optimized_frequencies,15,0.0
