,a,b,c,ep_delta,ep_eta,ep_alpha,ep_beta,ep_ujump,ep_input,ip_delta,ip_eta,ip_alpha,ip_beta,ip_ujump,ip_input,cp_ee,cp_ii,cp_ie,cp_ei,sp_ge,sp_gi,sp_sejump,sp_sijump,sp_reve,sp_revi,sp_tause,sp_tausi,f_target,fmax_MPR_exc,fmax_SNN_exc,error_freq_exc,fmax_MPR_inh,fmax_SNN_inh,error_freq_inh,parameter_set_file,param_ID,fitness,fitness.1,fitness.2,fitness.3,fitness.4,fitness
0,0.04,5.0,140.0,0.2394850548421971,1.3458891055784648,0.02,0.2,8,0,0.1444603998259379,9.357770902619372,0.1,0.2,2,0,0.8,0.2,0.2,0.8,16.168900338304574,23.38542326579494,0.8,1.2,0,-80,5,5,60,59.99986681317218,59.0,1.6664446886203048,59.99986681317218,117.0,-95.00022197804635,optimized_frequencies,41,0.0,0.0,0.0,0.0,0.0,0.0
1,0.04,5.0,140.0,0.0235779896702711,4.637777942538728,0.02,0.2,8,0,0.0317176721850331,11.358075360688744,0.1,0.2,2,0,0.8,0.2,0.2,0.8,19.553636716591008,14.983385457421765,0.8,1.2,0,-80,5,5,60,59.99998534654683,58.0,3.3333089109113936,59.99998534654683,58.0,3.3333089109113936,optimized_frequencies,42,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04,5.0,140.0,0.7039097033538618,5.6838356206280265,0.02,0.2,8,0,0.2748953084263155,3.251906669578453,0.1,0.2,2,0,0.8,0.2,0.2,0.8,5.322153415274143,18.011308839763174,0.8,1.2,0,-80,5,5,60,59.99969568635407,13.0,78.33282614392346,59.99969568635407,13.0,78.33282614392346,optimized_frequencies,43,0.0,0.0,0.0,0.0,0.0,0.0
3,0.04,5.0,140.0,0.7015697064440132,6.990812888647898,0.02,0.2,8,0,0.155590615185827,5.594267981178717,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.9034002531865664,22.18273942164642,0.8,1.2,0,-80,5,5,60,59.999737607416975,23.0,61.66622934569496,59.999737607416975,23.0,61.66622934569496,optimized_frequencies,44,0.0,0.0,0.0,0.0,0.0,0.0
4,0.04,5.0,140.0,0.037460848408207,2.3522184259972683,0.02,0.2,8,0,0.1850641200016296,7.937550949248063,0.1,0.2,2,0,0.8,0.2,0.2,0.8,6.536174593808537,8.078178179686025,0.8,1.2,0,-80,5,5,60,59.999853440842614,60.0,-0.0002442652623102,59.999853440842614,60.0,-0.0002442652623102,optimized_frequencies,45,0.0,0.0,0.0,0.0,0.0,0.0
5,0.04,5.0,140.0,0.1756558859628987,2.616222613981031,0.02,0.2,8,0,0.2386195269825549,5.4955701133547805,0.1,0.2,2,0,0.8,0.2,0.2,0.8,10.774493284882745,12.398799843486769,0.8,1.2,0,-80,5,5,60,59.99986337584622,50.0,16.666438959743697,59.99986337584622,50.0,16.666438959743697,optimized_frequencies,46,0.0,0.0,0.0,0.0,0.0,0.0
6,0.04,5.0,140.0,0.2595456670407825,3.5367603495771736,0.02,0.2,8,0,0.1437165620866966,12.099714683495506,0.1,0.2,2,0,0.8,0.2,0.2,0.8,8.778326766146577,28.459778434141093,0.8,1.2,0,-80,5,5,60,59.99978687581254,61.0,-1.667021873645768,59.99978687581254,61.0,-1.667021873645768,optimized_frequencies,47,0.0,0.0,0.0,0.0,0.0,0.0
7,0.04,5.0,140.0,0.1566252024793396,15.588134647919247,0.02,0.2,8,0,0.3754438648714396,7.892229664009967,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.2776161500984973,22.221199184793708,0.8,1.2,0,-80,5,5,60,58.99973895075903,24.0,58.33289825126505,58.99973895075903,48.0,18.332898251265053,optimized_frequencies,48,1.0,1.0,1.0,1.0,1.0,1.0
8,0.04,5.0,140.0,0.7116792224645813,13.666304611429547,0.02,0.2,8,0,0.1634269773280284,9.48391058116615,0.1,0.2,2,0,0.8,0.2,0.2,0.8,1.4693263611156766,24.55362116825481,0.8,1.2,0,-80,5,5,60,59.999755157005566,58.0,3.332925261675944,59.999755157005566,58.0,3.332925261675944,optimized_frequencies,49,0.0,0.0,0.0,0.0,0.0,0.0
9,0.04,5.0,140.0,0.5941948976970926,5.9821601139266125,0.02,0.2,8,0,0.1218569448356715,2.800125454528036,0.1,0.2,2,0,0.8,0.2,0.2,0.8,11.31969249654372,28.187600269024884,0.8,1.2,0,-80,5,5,60,59.999787279302275,92.0,-53.33368786782954,59.999787279302275,92.0,-53.33368786782954,optimized_frequencies,50,0.0,0.0,0.0,0.0,0.0,0.0
